mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_preprocessor__poly__degree,param_smote__k_neighbors,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10860466957092285,0.00798622192385516,0.2216792106628418,0.011073964945650567,3,2,3,0.3,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.3554054054054054,0.3490304709141274,0.3588317107093185,0.3647887323943662,0.369472182596291,0.35950570040390173,0.007130754635380736,12
0.10841221809387207,0.00775884342497386,0.25995588302612305,0.010177394133264005,3,2,3,0.5,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.322690992018244,0.3191244239631336,0.34101382488479265,0.32906976744186045,0.3488372093023256,0.33214724352207126,0.011186211186995998,16
0.10008525848388672,0.003259285975389668,0.21912646293640137,0.005922546315111479,3,2,5,0.3,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.3606789250353607,0.37057991513437055,0.3941176470588235,0.3843843843843844,0.3798449612403101,0.37792116657064984,0.011480322438455308,6
0.11132965087890626,0.006114076672507379,0.26140785217285156,0.007471304781721972,3,2,5,0.5,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.3333333333333333,0.3372502937720329,0.3617283950617284,0.33902439024390246,0.3575063613231552,0.34576855474683044,0.011534052735966352,14
0.1600965976715088,0.02292587188146419,0.4230700969696045,0.010707176479465159,3,3,3,0.3,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.3710144927536232,0.3723404255319149,0.39781591263650545,0.4031746031746032,0.3852080123266564,0.38591068928466066,0.013010146426342403,5
0.1764474868774414,0.009859307215450717,0.49173874855041505,0.006234049036188441,3,3,3,0.5,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.35263835263835264,0.35436241610738256,0.38873994638069703,0.3743169398907104,0.37585733882030176,0.3691829987674889,0.013760474937053898,10
0.15973129272460937,0.012362131622627212,0.44788422584533694,0.017417905963386108,3,3,5,0.3,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.37202380952380953,0.3987823439878234,0.4169278996865204,0.4135090609555189,0.3932038834951456,0.3988893995297636,0.01608240322803784,4
0.19068303108215331,0.017245985321098146,0.7650512218475342,0.47385626480168214,3,3,5,0.5,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.35768261964735515,0.3692509855453351,0.3923705722070845,0.3708791208791209,0.38461538461538464,0.37495973657885606,0.012199252178678118,9
0.09974446296691894,0.007035095229954992,0.23656563758850097,0.003321401910484232,5,2,3,0.3,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.38419618528610355,0.3710777626193724,0.3748378728923476,0.36694677871148457,0.3889655172413793,0.3772048233501375,0.008192238643983444,7
0.10941076278686523,0.004299333542805074,0.2631713390350342,0.008401551957204781,5,2,3,0.5,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.3382663847780127,0.31508264462809915,0.33433433433433435,0.3265741728922092,0.34950385887541346,0.3327522791016138,0.011523095624441794,15
0.09241633415222168,0.007565774837114792,0.21631627082824706,0.004298929189141168,5,2,5,0.3,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.39280359820089955,0.4043478260869565,0.4002770083102493,0.40294117647058825,0.39730134932533734,0.3995341916788062,0.0041380399146212984,3
0.09599390029907226,0.00973374040547702,0.2394259452819824,0.0033596342823006262,5,2,5,0.5,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.3485838779956427,0.34295227524972255,0.36129753914988816,0.34837962962962965,0.3640552995391705,0.3530537243128107,0.008159180117020064,13
0.1532808780670166,0.025012650686845404,0.400895357131958,0.004971086865350428,5,3,3,0.3,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.4107402031930334,0.3985294117647059,0.4005602240896359,0.4059097978227061,0.4086826347305389,0.40488445432012404,0.0046658939456093226,2
0.1609342575073242,0.01925349666397484,0.496876859664917,0.01409212435395246,5,3,3,0.5,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.3716295427901524,0.3511627906976744,0.3697857948139797,0.36874236874236876,0.37286063569682154,0.36683622654819936,0.007965667687831142,11
0.16341605186462402,0.011614151210163888,0.4349018096923828,0.008238795974875071,5,3,5,0.3,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.4105754276827372,0.4200913242009132,0.414985590778098,0.4252336448598131,0.4174603174603175,0.4176692609963758,0.004912321400796675,1
0.17815694808959961,0.0280524145024078,0.48275532722473147,0.01620687811558532,5,3,5,0.5,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.3793103448275862,0.36341756919374246,0.37976190476190474,0.37343358395989973,0.38909541511771994,0.37700376357217064,0.008443536666132687,8
